AC ID,User Story,Given,When,Then,Priority
AC-001,US-001,User navigates to /products,Page loads,All products displayed with image/name/price/rating,High
AC-002,US-002,User clicks a product card,Detail page loads,Full product info and Add to Cart shown,High
AC-003,US-005,User types in search bar,Search triggers,Matching products shown (case-insensitive),High
AC-004,US-007,User searches with no matches,Results render,No products found message displayed,Medium
AC-005,US-008,User selects category filter,Filter applied,Only matching category products shown,High
AC-006,US-012,User has active filters,Clear Filters clicked,All filters reset and full catalog shown,High
AC-007,US-013,User selects Price Low-High,Sort applied,Products ordered by price ascending,High
AC-008,US-016,User clicks Add to Cart,Action completes,Product in cart and badge increments,High
AC-009,US-018,User changes cart quantity,New quantity set,Subtotal recalculates and badge updates,High
AC-010,US-019,User clicks remove on cart item,Action completes,Item removed and totals update,High
AC-011,US-020,User has items in cart,Page refreshed,Cart items still present,High
AC-012,US-022,User clicks wishlist icon,Action completes,Product appears on wishlist page,Medium
AC-013,US-026,User on login page,Enters demo credentials,Logged in and redirected,High
AC-014,US-031,User submits empty checkout form,Validation runs,Error messages on required fields,High
AC-015,US-033,User submits valid checkout,Processing completes,Redirected to success page with order number,High
AC-016,US-034,Cart subtotal >= £50,Checkout summary loads,Shipping shown as FREE,Medium
AC-017,US-035,User on mobile viewport,Page loads,Content readable and layout responsive,High
AC-018,US-036,User clicks header nav link,Link clicked,Correct page loads,High
