AC ID,Related US,Feature Area,Criteria Summary,Pass Condition
AC-001,US-001,Home Page,Home page displays hero and featured products,Hero section and at least one product section visible with correct links
AC-002,US-002,Product Catalogue,All products load in grid with name/image/price/rating,Grid displays all products with count shown
AC-003,"US-003,US-004,US-005,US-006,US-007",Product Detail,PDP shows all product fields and stock status,Name/brand/price/rating/specs/stock all present; Add to Cart disabled when out of stock
AC-004,US-009,Search,Header search navigates to catalogue with query,Navigates to /products?search=<term> with filtered results
AC-005,"US-010,US-011,US-012",Search,Sidebar search filters products inline and updates count,Results and count update in real time
AC-006,US-013,Filtering,Category filter shows only selected category products,Correct products shown; count updates; All resets to full list
AC-007,US-014,Filtering,Brand filter shows only selected brand products,Results filtered correctly by brand
AC-008,US-015,Filtering,Price slider filters out products above selected max,Only products at or below max price shown
AC-009,US-016,Filtering,Rating filter shows products at or above minimum rating,Products below minimum rating excluded
AC-010,US-017,Filtering,In-Stock filter hides out-of-stock products,Products with stock=0 are removed from results
AC-011,US-018,Filtering,Clear button resets all filters,All filters reset; all products shown; filter count removed
AC-012,US-019,Sorting,Price Low to High sorts all categories ascending,All products sorted by ascending price consistently across categories
AC-013,US-022,Sorting,Best Rated sorts highest to lowest rating,Products sorted by descending rating
AC-014,US-024,Cart,Add to Cart from listing adds 1 unit and updates badge,Cart count +1; toast shown
AC-015,US-025,Cart,Add to Cart from PDP adds selected quantity,Cart updated with correct quantity
AC-016,"US-026,US-029",Cart,Cart page shows all items with correct totals,Items, subtotal, shipping, and total all correct
AC-017,"US-027,US-028",Cart,Quantity controls update totals; Remove removes item,Line subtotal and grand total recalculate on quantity change and removal
AC-018,US-030,Cart,Free shipping applied at £50+,Shipping shows FREE and total = subtotal when above threshold
AC-019,US-031,Cart,Cart persists across page refresh,Cart items and quantities preserved in localStorage
AC-020,"US-032,US-033,US-034",Wishlist,Add/remove to wishlist works and persists,Button state changes; wishlist page reflects additions and removals
AC-021,"US-036,US-037",Authentication,Login validates email presence and credentials,Blank email shows error; wrong credentials show error; correct creds log in
AC-022,US-038,Authentication,Registration validates all required fields and password match,Missing fields show errors; mismatched passwords show error; valid form registers
AC-023,US-044,Checkout,Checkout validates required fields on submit,Errors shown for empty required fields; form not submitted
AC-024,US-046,Checkout,Successful checkout redirects to order success,Order reference shown; cart cleared; redirected to /order-success
AC-025,"US-047,US-048",Navigation,Mobile menu opens/closes and layout is responsive,Menu toggles on tap; closes on navigation; layout adapts to viewport
